date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:05:41	26/26	---M--	200	added ('OK')	text/plain	date:Sat,%2006%20Jul%202024%2012:36:57%20GMT	https://yummie.wpengine.com/robots.txt		(from )
22:05:41	483809/483809	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:36:57%20GMT	https://yummie.wpengine.com/	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/yummie.wpengine.com/index.html	(from )
22:05:45	5842/5842	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:36:59%20GMT	https://gmpg.org/xfn/11	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/11.html	(from https://yummie.wpengine.com/)
22:05:47	25/25	---M--	200	added ('OK')	text/plain	etag:%227f564a4-19-3ef0a6a1b08c0%22	https://gmpg.org/robots.txt		(from https://yummie.wpengine.com/)
22:05:48	2067/2067	---M--	200	added ('OK')	text/css	etag:%2264e18331-813-3ef0a663b3680%22	https://gmpg.org/xfn/default.css	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/default.css	(from https://gmpg.org/xfn/11)
22:05:49	4170/4170	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:05%20GMT	https://gmpg.org/xfn/.	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/.html	(from https://gmpg.org/xfn/11)
22:05:50	16269/16269	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:06%20GMT	https://gmpg.org/xfn/intro	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/intro.html	(from https://gmpg.org/xfn/11)
22:05:51	7342/7342	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:07%20GMT	https://gmpg.org/xfn/faq	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/faq.html	(from https://gmpg.org/xfn/11)
22:05:52	3789/3789	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:08%20GMT	https://gmpg.org/xfn/thanks	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/thanks.html	(from https://gmpg.org/xfn/11)
22:05:53	8271/8271	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:09%20GMT	https://gmpg.org/xfn/join	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/join.html	(from https://gmpg.org/xfn/.)
22:05:53	4169/4169	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:09%20GMT	https://gmpg.org/xfn/	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/index.html	(from https://gmpg.org/xfn/.)
22:05:54	22236/22236	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:10%20GMT	https://gmpg.org/xfn/background	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/background.html	(from https://gmpg.org/xfn/.)
22:05:55	8796/8796	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:11%20GMT	https://gmpg.org/xfn/tools	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/tools.html	(from https://gmpg.org/xfn/.)
22:05:56	3977/3977	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:12%20GMT	https://gmpg.org/xfn/helping	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/helping.html	(from https://gmpg.org/xfn/.)
22:05:56	11564/11564	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:12%20GMT	https://gmpg.org/xfn/and/	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/and/index.html	(from https://gmpg.org/xfn/.)
22:05:56	2590/2590	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:12%20GMT	https://gmpg.org/xfn/feedback	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/feedback.html	(from https://gmpg.org/xfn/.)
22:05:57	8721/8721	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:13%20GMT	https://gmpg.org/xfn/creator	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/creator.html	(from https://gmpg.org/xfn/.)
22:05:58	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20Jul%202024%2012:37:14%20GMT	https://gmpg.org/xfn/and	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/and	(from https://gmpg.org/xfn/.)
22:05:59	16572/16572	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:15%20GMT	https://gmpg.org/xfn/more	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/more.html	(from https://gmpg.org/xfn/.)
22:06:01	4251/4251	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:16%20GMT	https://gmpg.org/xfn/press	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/press.html	(from https://gmpg.org/xfn/.)
22:06:04	4170/4170	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:18%20GMT	https://gmpg.org/xfn/index	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/index-2.html	(from https://gmpg.org/xfn/.)
22:06:10	1619/1619	---M--	200	added ('OK')	image/gif	etag:%227f56515-653-3ef0a663b3680%22	https://gmpg.org/xfn/pix/intro/five-met.gif	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/pix/intro/five-met.gif	(from https://gmpg.org/xfn/intro)
22:06:14	1612/1612	---M--	200	added ('OK')	image/gif	etag:%227f56512-64c-3ef0a663b3680%22	https://gmpg.org/xfn/pix/intro/five-acqfr.gif	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/pix/intro/five-acqfr.gif	(from https://gmpg.org/xfn/intro)
22:06:18	1391/1391	---M--	200	added ('OK')	image/gif	etag:%227f56517-56f-3ef0a663b3680%22	https://gmpg.org/xfn/pix/intro/five-prof.gif	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/pix/intro/five-prof.gif	(from https://gmpg.org/xfn/intro)
22:06:21	1187/1187	---M--	200	added ('OK')	image/gif	etag:%227f56513-4a3-3ef0a663b3680%22	https://gmpg.org/xfn/pix/intro/five-lovefam.gif	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/pix/intro/five-lovefam.gif	(from https://gmpg.org/xfn/intro)
22:06:27	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20Jul%202024%2012:37:43%20GMT	https://gmpg.org/xfn/and	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/and	(from https://gmpg.org/xfn/)
22:06:29	5209/5209	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:44%20GMT	https://gmpg.org/xfn/1	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/1.html	(from https://gmpg.org/xfn/join)
22:06:31	250/250	---M--	200	added ('OK')	image/gif	etag:%2264e1836a-fa-3ef0a663b3680%22	https://gmpg.org/xfn/xfn-btn.gif	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/xfn-btn.gif	(from https://gmpg.org/xfn/join)
22:06:34	9010/9010	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:50%20GMT	https://gmpg.org/xfn/creator-fr	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/creator-fr.html	(from https://gmpg.org/xfn/tools)
22:06:35	8836/8836	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202024%2012:37:51%20GMT	https://gmpg.org/xfn/creator-it	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/website%20templates/template4/gmpg.org/xfn/creator-it.html	(from https://gmpg.org/xfn/tools)
